psql:_install.sql:120: NOTICE:  CREATE TABLE will create implicit sequence "gui_kml_kml_id_seq" for serial column "gui_kml.kml_id"
psql:_install.sql:940: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_sld_user_layer" for table "sld_user_layer"
psql:_install.sql:950: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_user_wmc" for table "mb_user_wmc"
psql:_install.sql:960: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_wfs_conf_element_id" for table "wfs_conf_element"
psql:_install.sql:970: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_wfs_conf_id" for table "wfs_conf"
psql:_install.sql:980: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_wfs_element" for table "wfs_element"
psql:_install.sql:990: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_wfs_id" for table "wfs"
psql:_install.sql:1000: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_wms_format" for table "wms_format"
psql:_install.sql:1010: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_wms_id" for table "wms"
psql:_install.sql:1020: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_wms_srs" for table "wms_srs"
psql:_install.sql:1030: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "translations_pkey" for table "translations"
psql:_install.sql:24108: NOTICE:  ALTER TABLE / ADD UNIQUE will create implicit index "wfs_element_element_id_key" for table "wfs_element"
psql:_install.sql:24408: NOTICE:  CREATE TABLE will create implicit sequence "gui_category_category_id_seq" for serial column "gui_category.category_id"
psql:_install.sql:24408: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "pk_category_id" for table "gui_category"
psql:_install.sql:25848: NOTICE:  CREATE TABLE will create implicit sequence "cat_cat_id_seq" for serial column "cat.cat_id"
psql:_install.sql:25852: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "cat_pkey" for table "cat"
psql:_install.sql:25860: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_cat_keyword" for table "cat_keyword"
psql:_install.sql:25891: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "pk_con_cat_op" for table "cat_op_conf"
psql:_install.sql:25941: NOTICE:  table "wmc_keyword" does not exist, skipping
psql:_install.sql:25942: NOTICE:  table "wmc_md_topic_category" does not exist, skipping
psql:_install.sql:25947: ERROR:  constraint "mb_user_wmc_pkey" of relation "mb_user_wmc" does not exist
psql:_install.sql:25960: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_user_wmc" for table "mb_user_wmc"
psql:_install.sql:25968: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_wmc_keyword" for table "wmc_keyword"
psql:_install.sql:26775: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_gui_gui_category" for table "gui_gui_category"
psql:_install.sql:26985: ERROR:  column "featuretype_searchable" of relation "wfs_featuretype" already exists
psql:_install.sql:27020: NOTICE:  CREATE TABLE will create implicit sequence "inspire_md_data_data_id_seq" for serial column "inspire_md_data.data_id"
psql:_install.sql:27020: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "data_id_pkey" for table "inspire_md_data"
psql:_install.sql:27042: NOTICE:  CREATE TABLE will create implicit sequence "conformity_conformity_id_seq" for serial column "conformity.conformity_id"
psql:_install.sql:27042: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "conformity_pkey" for table "conformity"
psql:_install.sql:27065: NOTICE:  CREATE TABLE will create implicit sequence "spec_classification_spec_class_id_seq" for serial column "spec_classification.spec_class_id"
psql:_install.sql:27065: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "spec_class_id_pkey" for table "spec_classification"
psql:_install.sql:27065: NOTICE:  CREATE TABLE / UNIQUE will create implicit index "spec_classification_spec_class_key_key" for table "spec_classification"
psql:_install.sql:27091: NOTICE:  CREATE TABLE will create implicit sequence "spec_spec_id_seq" for serial column "spec.spec_id"
psql:_install.sql:27091: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "spec_id_pkey" for table "spec"
psql:_install.sql:27122: NOTICE:  CREATE TABLE will create implicit sequence "conformity_relation_relation_id_seq" for serial column "conformity_relation.relation_id"
psql:_install.sql:27122: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "relation_id_pkey" for table "conformity_relation"
psql:_install.sql:27136: NOTICE:  CREATE TABLE will create implicit sequence "custom_category_custom_category_id_seq" for serial column "custom_category.custom_category_id"
psql:_install.sql:27136: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "custom_category_pkey" for table "custom_category"
psql:_install.sql:27226: NOTICE:  CREATE TABLE will create implicit sequence "inspire_category_inspire_category_id_seq" for serial column "inspire_category.inspire_category_id"
psql:_install.sql:27226: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "inspire_category_pkey" for table "inspire_category"
psql:_install.sql:27545: NOTICE:  view "search_wms_view" does not exist, skipping
psql:_install.sql:27560: NOTICE:  view "search_wfs_view" does not exist, skipping
psql:_install.sql:27602: NOTICE:  CREATE TABLE will create implicit sequence "content_metadata_metadata_id_seq" for serial column "content_metadata.metadata_id"
psql:_install.sql:27602: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "metadata_pkey" for table "content_metadata"
psql:_install.sql:27602: NOTICE:  CREATE TABLE / UNIQUE will create implicit index "metadata_uuid_key" for table "content_metadata"
psql:_install.sql:27667: NOTICE:  function f_collect_searchtext_wmc(pg_catalog.varchar) does not exist, skipping
psql:_install.sql:27668: NOTICE:  function f_collect_topic_cat_wmc(pg_catalog.varchar) does not exist, skipping
psql:_install.sql:27834: NOTICE:  view "search_wmc_view" does not exist, skipping
psql:_install.sql:27882: NOTICE:  CREATE TABLE / UNIQUE will create implicit index "layer_preview_fkey_layer_id_key" for table "layer_preview"
psql:_install.sql:27894: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "termsofuse_pkey" for table "termsofuse"
psql:_install.sql:28092: NOTICE:  CREATE TABLE will create implicit sequence "datalink_datalink_id_seq" for serial column "datalink.datalink_id"
psql:_install.sql:28092: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "pk_datalink_id" for table "datalink"
psql:_install.sql:28110: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "pk_datalink_keyword" for table "datalink_keyword"
psql:_install.sql:28282: NOTICE:  CREATE TABLE / UNIQUE will create implicit index "wmc_fkey_layer_id_key" for table "wmc_preview"
psql:_install.sql:30593: NOTICE:  CREATE TABLE will create implicit sequence "mb_role_role_id_seq" for serial column "mb_role.role_id"
psql:_install.sql:30593: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "role_id" for table "mb_role"
psql:_install.sql:30611: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_fkey_mb_user_mb_group_id" for table "mb_user_mb_group"
psql:_install.sql:30652: NOTICE:  drop cascades to constraint ows_relation_metadata_fkey_metadata_id_fkey on table ows_relation_metadata
psql:_install.sql:30707: NOTICE:  CREATE TABLE will create implicit sequence "mb_metadata_metadata_id_seq" for serial column "mb_metadata.metadata_id"
psql:_install.sql:30707: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "metadata_pkey" for table "mb_metadata"
psql:_install.sql:31278: NOTICE:  function f_count_layer_couplings(pg_catalog.int4) does not exist, skipping
psql:_install.sql:31516: NOTICE:  CREATE TABLE will create implicit sequence "scheduler_scheduler_id_seq" for serial column "scheduler.scheduler_id"
psql:_install.sql:31516: NOTICE:  CREATE TABLE / PRIMARY KEY will create implicit index "pk_scheduler_id" for table "scheduler"
